CMDLINE poetry run python src/run-memory-profiler.py --bench-config conf/paper/benchmark-e2e-real-replicates.yaml --tool polars_bio_streaming --test-case 1-5 --operation coverage
MEM 0.656250 1760583119.6868
MEM 32.296875 1760583119.7970
MEM 53.312500 1760583119.9071
MEM 14.453125 1760583120.0172
MEM 48.296875 1760583120.1280
MEM 76.968750 1760583120.2330
MEM 96.609375 1760583120.3383
MEM 115.500000 1760583120.4485
MEM 152.187500 1760583120.5586
MEM 177.281250 1760583120.6687
MEM 192.625000 1760583120.7701
MEM 200.656250 1760583120.8802
MEM 210.390625 1760583120.9904
MEM 436.156250 1760583121.1005
MEM 669.859375 1760583121.2107
MEM 905.812500 1760583121.3209
MEM 1146.671875 1760583121.4310
MEM 1353.093750 1760583121.5412
MEM 1434.484375 1760583121.6514
MEM 1492.515625 1760583121.7615
MEM 1502.656250 1760583121.8716
MEM 1578.140625 1760583121.9818
MEM 1637.859375 1760583122.0920
MEM 1650.875000 1760583122.2021
MEM 1663.750000 1760583122.3123
MEM 1670.515625 1760583122.4224
MEM 1517.593750 1760583122.5326
